alpha,max_iter,neibors,custo,tempo
0.3,1000,[0],951.8,1.2050794601440429
0.3,1000,[1],917.0,2.0967733383178713
0.3,1000,"[0, 1]",826.2,2.634425163269043
0.3,10000,[0],865.0,11.9091317653656
0.3,10000,[1],899.6,21.123992252349854
0.3,10000,"[0, 1]",818.0,26.631166839599608
0.3,50000,[0],839.8,60.304886960983275
0.3,50000,[1],865.4,104.911794090271
0.3,50000,"[0, 1]",811.0,131.98474888801576
0.5,1000,[0],997.2,1.3377321720123292
0.5,1000,[1],953.6,2.816219758987427
0.5,1000,"[0, 1]",854.0,3.343384790420532
0.5,10000,[0],905.6,13.262249040603638
0.5,10000,[1],893.8,28.02537097930908
0.5,10000,"[0, 1]",815.6,33.42203640937805
0.5,50000,[0],871.0,66.13305931091308
0.5,50000,[1],887.6,137.232333612442
0.5,50000,"[0, 1]",817.4,163.8579116821289
0.8,1000,[0],1083.0,1.466613483428955
0.8,1000,[1],918.8,3.441973638534546
0.8,1000,"[0, 1]",878.6,4.1266200065612795
0.8,10000,[0],1018.2,14.87996506690979
0.8,10000,[1],902.6,34.861548852920535
0.8,10000,"[0, 1]",830.2,41.59794073104858
0.8,50000,[0],993.2,74.11813564300537
0.8,50000,[1],862.2,174.72148423194886
0.8,50000,"[0, 1]",819.0,208.21841707229615
