Instance_name,BKS,Best_cost,Avrg_cost,Best_temp,Avrg_temp,Best_gap,Avrg_gap,n_iter
B-n31-k5,672,708.0,712.0,3.690971612930298,3.89,0.05357142857142857,0.06,10000.0
B-n34-k5,788,824.0,824.2,16.053539276123047,11.01,0.04568527918781726,0.05,10000.0
B-n35-k5,955,1012.0,1014.2,6.208911180496216,8.78,0.05968586387434555,0.06,10000.0
B-n38-k6,805,836.0,843.2,20.04556107521057,22.33,0.03850931677018633,0.05,10000.0
B-n39-k5,549,648.0,658.8,3.1294429302215576,10.59,0.18032786885245902,0.2,10000.0
B-n41-k6,829,849.0,857.0,22.51521921157837,11.68,0.024125452352231604,0.03,10000.0
B-n43-k6,742,765.0,769.8,15.373764753341675,20.94,0.03099730458221024,0.04,10000.0
B-n44-k7,909,939.0,960.6,34.28773093223572,20.49,0.033003300330033,0.06,10000.0
B-n45-k5,751,802.0,816.0,37.86566615104675,24.93,0.06790945406125166,0.09,10000.0
B-n45-k6,678,721.0,730.6,5.3600754737854,24.9,0.06342182890855458,0.08,10000.0
B-n50-k7,741,777.0,793.2,54.69813871383667,21.96,0.048582995951417005,0.07,10000.0
B-n50-k8,1312,1360.0,1370.6,18.6623272895813,32.31,0.036585365853658534,0.04,10000.0
B-n51-k7,1032,1099.0,1106.0,47.735745429992676,39.18,0.06492248062015504,0.07,10000.0
B-n52-k7,747,796.0,820.8,71.59381341934204,43.99,0.06559571619812583,0.1,10000.0
B-n56-k7,707,748.0,755.8,64.11277151107788,55.67,0.05799151343705799,0.07,10000.0
B-n57-k7,1153,1242.0,1255.8,44.17829990386963,33.41,0.07718993928881179,0.09,10000.0
B-n57-k9,1598,1693.0,1706.2,92.937828540802,59.29,0.05944931163954944,0.07,10000.0
B-n63-k10,1496,1610.0,1650.8,39.41059947013855,48.02,0.07620320855614973,0.1,10000.0
B-n64-k9,861,922.0,946.8,70.64654994010925,57.27,0.07084785133565621,0.1,10000.0
B-n66-k9,1316,1388.0,1391.6,74.86978030204773,57.85,0.0547112462006079,0.06,10000.0
B-n67-k10,1032,1150.0,1163.8,14.62519907951355,46.23,0.11434108527131782,0.13,10000.0
B-n68-k9,1272,1408.0,1416.4,73.94500851631165,69.23,0.1069182389937107,0.11,10000.0
B-n78-k10,1221,1365.0,1385.0,39.6786892414093,69.52,0.11793611793611794,0.13,10000.0
